rank;bib;name;club;Cat;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
12th;151;Ola Myklatun Krosness;SK Rye sykkel;;Menn Senior 19+;00:05:33;12;00:06:10;14;00:06:26;14;00:04:02;15;00:03:47;14;00:05:00;13;00:30:58;+00:04:13;M
13th;133;Sindre Ødemark;Romeriksåsen SK;;Menn Senior 19+;00:05:39;14;00:06:06;13;00:06:26;14;00:03:58;14;00:03:44;12;00:05:05;14;00:30:58;+00:04:13;M
14th;148;Karl-Oskar Sæther;Siggerud IL – sykkel;;Menn Senior 19+;00:05:30;11;00:06:05;12;00:07:27;18;00:04:05;16;00:03:55;15;00:05:11;15;00:32:13;+00:05:28;M
15th;150;Stian Rismyhr;Siggerud IL – sykkel;;Menn Senior 19+;00:05:43;16;00:06:27;15;00:06:54;16;00:04:07;17;00:04:01;17;00:05:16;16;00:32:28;+00:05:43;M
16th;136;Kristoffer Ylven Westgaard;Asker CK;;Menn Senior 19+;00:05:20;8;00:09:43;19;00:06:06;7;00:03:46;10;00:03:41;10;00:04:37;7;00:33:13;+00:06:28;M
17th;140;Tobias Bjerknes;CK Nittedal;;Menn Senior 19+;00:06:01;17;00:07:00;17;00:07:18;17;00:04:23;18;00:04:15;18;00:05:37;17;00:34:34;+00:07:49;M
18th;131;Jonas Olsson;SK Rye sykkel;;Menn Senior 19+;00:19:42;19;00:05:55;8;00:06:15;8;00:03:36;6;00:03:35;7;00:04:43;8;00:43:46;+00:17:01;M
;142;Marius Rønningen Diseth;CK Nittedal;;Menn Senior 19+;00:06:56;18;00:08:51;18;00:10:28;19;DNF;;DNS;;DNS;;DNF;;M
;145;Kristian Østlie;CK Nittedal;;Menn Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;147;Isak Solomon;SK Rye sykkel;;Menn Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;137;Henrik Langeland Nielsen;Kristiansands CK;;Menn Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;149;Tom Are Grøv;SK Rye sykkel;;Menn Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
1st;51;Lise Pettersen;Eidanger IL;;Kvinner Elduro 17+;00:06:58;1;00:07:42;1;;;00:04:51;1;00:04:41;1;;;00:24:12;;F
2nd;50;Ronja Havelin Buer;Herja Endurolaug;;Kvinner Elduro 17+;00:07:33;2;00:09:14;2;;;00:06:18;2;00:05:30;2;;;00:28:35;00:04.23;F
1st;53;Stanley Geyersbach;;;Menn Elduro 17+;00:05:18;1;00:05:43;1;;;00:03:57;1;00:03:33;1;;;00:18:31;;M
2nd;52;Tomas Langlo;;;Menn Elduro 17+;00:06:17;2;00:07:04;2;;;00:04:43;2;00:04:15;2;;;00:22:19     +00:03:48;;M
;54;Jo-Inge Mandt;Skytta sti & friski;;Menn Elduro 17+;00:07:22;3;;;;;00:06:11;3;00:05:54;3;;;DNF;;M
1st;58;Christoffer Fremstad;Årvoll Øl- og sykkelklubb;;Menn Funduro 17+;00:06:35;2;00:07:18;1;;;00:04:49;1;00:04:19;1;;;00:23:01;;M
2nd;55;Ægir Lyng;;;Menn Funduro 17+;00:06:42;3;00:07:33;2;;;00:04:56;4;00:04:26;2;;;00:23:37;+00:00:36;M
3rd;56;William Midtskogen;Aron Skiklubb;;Menn Funduro 17+;00:06:18;1;00:07:54;4;;;00:04:51;3;00:04:43;3;;;00:23:46;+00:00:45;M
4th;59;Jens Andre Jensen;Eiker CK;;Menn Funduro 17+;00:07:05;4;00:07:36;3;;;00:04:49;1;00:04:51;4;;;00:24:21;+00:01:20;M
5th;60;Tor Hjelset;CK Nittedal;;Menn Funduro 17+;00:07:55;5;00:08:28;5;;;00:05:45;5;00:04:53;5;;;00:27:01;+00:04:00;M
;57;Christian Udgaard;Nordvik Drammen;;Menn Funduro 17+;DNS;;DNS;;;;DNS;;DNS;;;;DNS;;M
1st;35;Mathias Stenberg;;;Gutter 15-16;00:05:24;1;00:06:06;2;;;00:03:48;1;00:03:41;3;;;00:18:59;;M
2nd;29;Fridtjof Richard Digre;Konnerud IL Sykkel;;Gutter 15-16;00:05:24;1;00:06:07;3;;;00:03:57;5;00:03:39;1;;;00:19:07;+00:00:08;M
3rd;31;Teodor Skare;Kristiansands CK;;Gutter 15-16;00:05:34;3;00:06:13;5;;;00:03:50;3;00:03:40;2;;;00:19:17;+00:00:18;M
4th;39;Eskil Hafskjold;SK Rye sykkel;;Gutter 15-16;00:05:42;6;00:06:01;1;;;00:03:56;4;00:03:45;4;;;00:19:24;+00:00:25;M
5th;24;Markos Woldegabriel Sollien;Sk Rye Sykkel;;Gutter 15-16;00:05:39;5;00:06:08;4;;;00:04:14;10;00:03:57;7;;;00:19:58;+00:00:59;M
6th;32;Jo Røisli;CK Nittedal;;Gutter 15-16;00:05:47;8;00:06:16;6;;;00:04:04;8;00:03:52;5;;;00:19:59;+00:01:00;M
7th;27;Eirik Ølnes Ødegårdstuen;SK Rye sykkel;;Gutter 15-16;00:05:34;3;00:06:19;7;;;00:03:48;1;00:04:23;15;;;00:20:04;+00:01:05;M
8th;17;Edvin Almaas-Edvardsen;CK Elverum;;Gutter 15-16;00:05:50;10;00:06:20;8;;;00:03:59;6;00:04:16;13;;;00:20:25;+00:01:26;M
9th;22;Øyvind Karim Rasmussen;SK Rye sykkel;;Gutter 15-16;00:05:48;9;00:06:33;10;;;00:04:15;11;00:04:00;8;;;00:20:36;+00:01:37;M
10th;30;Philip Sander Alnes;Konnerud IL Sykkel;;Gutter 15-16;00:06:01;12;00:06:37;12;;;00:04:10;9;00:03:54;6;;;00:20:42;+00:01:43;M
11th;38;Sondre Spieler;Kristiansands CK;;Gutter 15-16;00:05:45;7;00:07:01;14;;;00:03:59;6;00:04:07;9;;;00:20:52;+00:01:53;M
12th;34;Even Hoem;Kristiansands CK;;Gutter 15-16;00:05:56;11;00:06:35;11;;;00:04:19;13;00:04:07;9;;;00:20:57;+00:01:58;M
13th;37;Sindre Martin Moe Sollund;Molde CK;;Gutter 15-16;00:06:01;12;00:06:28;9;;;00:04:16;12;00:04:14;12;;;00:20:59;+00:02:00;M
14th;33;Marius Fenstad Skjærstad;SK Rye sykkel;;Gutter 15-16;00:06:14;15;00:06:45;13;;;00:04:25;14;00:04:13;11;;;00:21:37;+00:02:38;M
15th;18;Rasmus Mackenzie;SK Rye sykkel;;Gutter 15-16;00:06:33;18;00:07:24;15;;;00:04:35;16;00:04:20;14;;;00:22:52;+00:03:53;M
16th;23;Tobias Kerlefsen Håversta;Birkenes IL Sykkel;;Gutter 15-16;00:06:17;16;00:07:34;16;;;00:04:56;17;00:04:28;16;;;00:23:15;+00:04:16;M
17th;20;Abel Elias Døli;;;Gutter 15-16;00:06:11;14;00:07:50;17;;;00:04:27;15;00:04:53;17;;;00:23:21;+00:04:22;M
;19;Zander Wold;Aron SK;;Gutter 15-16;00:07:11;19;00:08:17;18;;;DNF;;DNS;;;;DNF;;M
;36;Torben Hjelset;CK Nittedal;;Gutter 15-16;00:06:25;17;DNF;;;;DNS;;DNS;;;;DNF;;M
;26;Oliver Gjelsvik-Bakke;Hafrsfjord SK;;Gutter 15-16;DNS;DNS;DNS;DNS;;;DNS;DNS;DNS;DNS;;;DNS;;M
;25;Brage Lidsheim;CK Nittedal;;Gutter 15-16;DNS;DNS;DNS;DNS;;;DNS;DNS;DNS;DNS;;;DNS;;M
;28;Eivind Sølvik;Nanset sykkel;;Gutter 15-16;DNS;DNS;DNS;DNS;;;DNS;DNS;DNS;DNS;;;DNS;;M
;21;Julian Liane Jensen;Kragerø SK;;Gutter 15-16;DNS;DNS;DNS;DNS;;;DNS;DNS;DNS;DNS;;;DNS;;M
