Pos Klasse;bib;name;club;;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
12th;153;Kristian Hauglum;SK Rye sykkel;;Menn Master 35+;00:03:57;17;00:03:41;12;00:05:29;12;00:06:16;14;00:01:18;11;00:01:25;10;00:22:06;+00:02:43;M
13th;147;Karsten Hjelseth;IL Heming - sykkelgruppe;;Menn Master 35+;00:03:57;17;00:03:42;14;00:05:37;17;00:06:09;12;00:01:19;12;00:01:25;10;00:22:09;+00:02:46;M
14th;141;Håvard A. Sefland;Kristiansands CK;;Menn Master 35+;00:03:54;13;00:03:42;14;00:05:34;14;00:06:19;16;00:01:21;13;00:01:27;17;00:22:17;+00:02:54;M
15th;156;Martin Liane;Harstad CK;;Menn Master 35+;00:03:54;13;00:03:48;18;00:05:35;15;00:06:15;13;00:01:21;13;00:01:27;17;00:22:20;+00:02:57;M
16th;162;Peter Hjertson;SK Rye sykkel;;Menn Master 35+;00:03:56;15;00:03:46;16;00:05:31;13;00:06:32;22;00:01:16;7;00:01:25;10;00:22:26;+00:03:03;M
17th;164;Roy Kjetil Håkelien;Odal SK;;Menn Master 35+;00:03:57;17;00:03:47;17;00:05:36;16;00:06:25;18;00:01:21;13;00:01:25;10;00:22:31;+00:03:08;M
18th;134;Fredrich Mitchell;Drammen CK;;Menn Master 35+;00:04:01;21;00:03:53;24;00:05:42;19;00:06:22;17;00:01:21;13;00:01:22;7;00:22:41;+00:03:18;M
19th;158;Morgan Bakken;Kragerø SK;;Menn Master 35+;00:04:05;24;00:03:49;20;00:05:46;20;00:06:17;15;00:01:23;20;00:01:30;21;00:22:50;+00:03:27;M
20th;176;Vidar Folden;SK Rye sykkel;;Menn Master 35+;00:03:56;15;00:03:50;21;00:05:51;25;00:06:31;20;00:01:23;20;00:01:25;10;00:22:56;+00:03:33;M
21st;177;William Salminen;Harstad CK;;Menn Master 35+;00:04:01;21;00:03:48;18;00:05:49;24;00:06:27;19;00:01:23;20;00:01:30;21;00:22:58;+00:03:35;M
22nd;170;Stian Rismyhr;Siggerud IL - sykkel;;Menn Master 35+;00:04:00;20;00:03:54;25;00:05:46;20;00:06:31;20;00:01:26;24;00:01:28;19;00:23:05;+00:03:42;M
23rd;137;Frode Bredesen;Harstad CK;;Menn Master 35+;00:04:04;23;00:03:50;21;00:05:48;22;00:06:32;22;00:01:23;20;00:01:31;26;00:23:08;+00:03:45;M
24th;163;Petter Anthonsen;Toten-Kranken CK;;Menn Master 35+;00:04:05;24;00:03:51;23;00:05:48;22;00:06:42;26;00:01:22;19;00:01:30;21;00:23:18;+00:03:55;M
25th;154;Lars Frederic Nordbakken;Romeriksåsen SK;;Menn Master 35+;00:04:12;28;00:03:57;26;00:05:52;26;00:06:33;24;00:01:26;24;00:01:30;21;00:23:30;+00:04:07;M
26th;149;Knut Haugen;Lørenskog CK;;Menn Master 35+;00:04:06;26;00:03:59;27;00:06:01;28;00:06:39;25;00:01:30;31;00:01:32;27;00:23:47;+00:04:24;M
27th;169;Stian Carlsen;SK Rye sykkel;;Menn Master 35+;00:04:15;30;00:04:05;31;00:05:56;27;00:06:42;26;00:01:27;26;00:01:33;29;00:23:58;+00:04:35;M
28th;152;Kristian Eckhoff;SK Rye sykkel;;Menn Master 35+;00:04:10;27;00:04:00;28;00:06:06;30;00:06:48;31;00:01:31;32;00:01:30;21;00:24:05;+00:04:42;M
29th;142;Håvard Solbakken;Bergen MTB Klubb;;Menn Master 35+;00:04:17;32;00:04:02;29;00:06:15;33;00:06:51;32;00:01:27;26;00:01:35;32;00:24:27;+00:05:04;M
30th;165;Rune Jansberg;Odal SK;;Menn Master 35+;00:04:14;29;00:04:25;40;00:06:05;29;00:06:43;28;00:01:27;26;00:01:34;30;00:24:28;+00:05:05;M
31st;139;Geir Inge Sandnes;Aron Sportsklubb;;Menn Master 35+;00:04:19;33;00:04:05;31;00:06:13;32;00:06:46;29;00:01:35;35;00:01:36;33;00:24:34;+00:05:11;M
32nd;146;Karl Christoffer Sveva;Sandefjord SK;;Menn Master 35+;00:04:16;31;00:04:16;37;00:06:22;34;00:06:47;30;00:01:37;38;00:01:32;27;00:24:50;+00:05:27;M
33rd;144;Jan Henrik Høilund;SK Rye sykkel;;Menn Master 35+;00:04:22;34;00:04:04;30;00:06:23;36;00:06:57;34;00:01:33;33;00:01:39;36;00:24:58;+00:05:35;M
34th;155;Liam Hart;CK Nittedal;;Menn Master 35+;00:04:22;34;00:04:21;39;00:06:27;38;00:06:51;32;00:01:27;26;00:01:34;30;00:25:02;+00:05:39;M
35th;160;Øystein Røed;Hurum Sport;;Menn Master 35+;00:04:26;38;00:04:14;35;00:06:11;31;00:06:59;35;00:01:35;35;00:01:37;34;00:25:02;+00:05:39;M
36th;168;Ståle Solbakken;Bergen MTB Klubb;;Menn Master 35+;00:04:32;40;00:04:15;36;00:06:25;37;00:07:02;36;00:01:28;30;00:01:38;35;00:25:20;+00:05:57;M
37th;150;Knut Kolvig;IF Frøy;;Menn Master 35+;00:04:27;39;00:04:08;33;00:06:22;34;00:07:11;39;00:01:35;35;00:01:42;39;00:25:25;+00:06:02;M
38th;175;Trond Bentzen;Siggerud IL - sykkel;;Menn Master 35+;00:04:25;37;00:04:16;37;00:06:28;39;00:07:05;37;00:01:44;39;00:01:39;36;00:25:37;+00:06:14;M
39th;132;Bjørn Inge Larsen;Bergen MTB Klubb;;Menn Master 35+;00:04:22;34;00:04:08;33;00:06:46;40;00:07:09;38;00:01:34;34;00:01:39;36;00:25:38;+00:06:15;M
40th;174;Tore Nilsen;Romsås IL sykkel;;Menn Master 35+;00:05:06;41;00:05:05;41;00:07:00;41;00:07:26;40;00:02:03;40;00:01:48;40;00:28:28;+00:09:05;M
;159;Ole Christian Fagerli;IF Frøy;;Menn Master 35+;00:03:47;11;00:03:33;6;00:05:18;4;00:10:59;41;;;DNF;;;;M
;140;Hamish Ryan;SK Rye sykkel;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;173;Tom Ole Haukom;Kongsberg IF Sykkel;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;151;Kristian Bøhler;CK Nittedal;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;172;Terje Unnerud;Mjølkerampa SK;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;143;Jamieson Pothecary;SK Rye sykkel;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;135;Fredrik Lingvall;SK Rye sykkel;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;133;Christian Erga;Siggerud IL - sykkel;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;136;Fredrik Smith;Njård;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
;138;Frode Dalen;Kjekkas IF;;Menn Master 35+;;;;;;;DNF;;;;;;;;M
1st;203;Simen Smestad;SK Rye sykkel;;Menn Senior 19+;00:03:31;3;00:03:12;1;00:04:58;1;00:05:23;1;00:01:10;4;00:01:13;1;00:19:27;;M
2nd;181;Bård Pettersen;Modum CK;;Menn Senior 19+;00:03:23;1;00:03:18;2;00:04:59;2;00:05:33;2;00:01:11;5;00:01:18;5;00:19:42;+00:00:15;M
3rd;178;Anders Guttormson Skarstein;Asker CK;;Menn Senior 19+;00:03:31;3;00:03:19;3;00:05:01;3;00:05:44;7;00:01:08;1;00:01:14;2;00:19:57;+00:00:30;M
4th;196;Magnus Slinger Sørli;Svelvik SK;;Menn Senior 19+;00:03:32;5;00:03:19;3;00:05:10;6;00:05:35;3;00:01:08;1;00:01:14;2;00:19:58;+00:00:31;M
5th;179;Andreas Aalby;Asker CK;;Menn Senior 19+;00:03:34;8;00:03:25;6;00:05:05;4;00:05:37;4;00:01:12;7;00:01:23;16;00:20:16;+00:00:49;M
6th;190;Kristian Holiman;SK Rye sykkel;;Menn Senior 19+;00:03:25;2;00:03:32;12;00:05:20;12;00:05:38;5;00:01:09;3;00:01:17;4;00:20:21;+00:00:54;M
7th;182;Elias Stokke Tødås;Namdal SK;;Menn Senior 19+;00:03:32;5;00:03:24;5;00:05:13;7;00:05:40;6;00:01:12;7;00:01:20;7;00:20:21;+00:00:54;M
8th;193;Kristoffer Ylven Westgaard;CK Nittedal;;Menn Senior 19+;00:03:35;9;00:03:28;7;00:05:06;5;00:05:50;10;00:01:12;7;00:01:20;7;00:20:31;+00:01:04;M
9th;206;Timothy Pedersen;Asker CK;;Menn Senior 19+;00:03:32;5;00:03:28;7;00:05:18;10;00:05:51;11;00:01:11;5;00:01:21;10;00:20:41;+00:01:14;M
10th;200;Mikkel Pedersen;IF Frøy;;Menn Senior 19+;00:03:38;11;00:03:29;10;00:05:15;9;00:05:44;7;00:01:14;13;00:01:21;10;00:20:41;+00:01:14;M
11th;187;Jonas Olsson;SK Rye sykkel;;Menn Senior 19+;00:03:36;10;00:03:28;7;00:05:24;15;00:05:44;7;00:01:13;10;00:01:18;5;00:20:43;+00:01:16;M
12th;209;Tore Navrestad;Bærum OCK;;Menn Senior 19+;00:03:40;13;00:03:38;20;00:05:13;7;00:05:56;14;00:01:15;14;00:01:20;7;00:21:02;+00:01:35;M
13th;192;Kristoffer Rakneberg;Bergen MTB Klubb;;Menn Senior 19+;00:03:43;14;00:03:35;14;00:05:19;11;00:05:53;12;00:01:13;10;00:01:21;10;00:21:04;+00:01:37;M
14th;202;Oscar Saksvik;Asker CK;;Menn Senior 19+;00:03:39;12;00:03:30;11;00:05:29;19;00:06:01;16;00:01:18;19;00:01:21;10;00:21:18;+00:01:51;M
15th;208;Tom Are Grøv;SK Rye sykkel;;Menn Senior 19+;00:03:43;14;00:03:36;17;00:05:26;17;00:05:55;13;00:01:18;19;00:01:21;10;00:21:19;+00:01:52;M
16th;185;Isak Solomon;SK Rye sykkel;;Menn Senior 19+;00:03:45;18;00:03:37;18;00:05:22;14;00:06:03;17;00:01:16;17;00:01:24;18;00:21:27;+00:02:00;M
17th;184;Henrik Langeland Nielsen;Kristiansands CK;;Menn Senior 19+;00:03:43;14;00:03:40;21;00:05:26;17;00:06:11;19;00:01:17;18;00:01:23;16;00:21:40;+00:02:13;M
18th;191;Kristian Østlie;CK Nittedal;;Menn Senior 19+;00:03:45;18;00:03:35;14;00:05:29;19;00:06:10;18;00:01:18;19;00:01:24;18;00:21:41;+00:02:14;M
19th;205;Simon Risan;NTNUI;;Menn Senior 19+;00:03:44;17;00:03:35;14;00:05:34;22;00:06:27;24;00:01:15;14;00:01:24;18;00:21:59;+00:02:32;M
20th;189;Knut Erik Haugen;CK Nittedal;;Menn Senior 19+;00:03:55;22;00:03:40;21;00:05:35;23;00:06:12;20;00:01:21;22;00:01:28;21;00:22:11;+00:02:44;M
21st;199;Marius Grødahl Andresen;Halden CK;;Menn Senior 19+;00:03:49;21;00:03:40;21;00:05:32;21;00:06:20;22;00:01:23;24;00:01:40;28;00:22:24;+00:02:57;M
22nd;188;Jørn Huseby;Aron Sportsklubb;;Menn Senior 19+;00:04:30;28;00:03:37;18;00:05:24;15;00:06:18;21;00:01:13;10;00:01:36;24;00:22:38;+00:03:11;M
23rd;195;Mads Henrik Kjemperud;Modum CK;;Menn Senior 19+;00:04:00;23;00:03:59;26;00:05:20;12;00:06:22;23;00:01:21;22;00:01:38;26;00:22:40;+00:03:13;M
24th;210;Veigar Thorsteinsson;NTNUI;;Menn Senior 19+;00:04:04;24;00:03:54;24;00:05:49;24;00:06:44;25;00:01:23;24;00:01:34;23;00:23:28;+00:04:01;M
25th;183;Frode Gyland;Ryfylke SK;;Menn Senior 19+;00:04:08;25;00:03:55;25;00:05:59;25;00:06:45;26;00:01:24;26;00:01:29;22;00:23:40;+00:04:13;M
26th;207;Tobias Bjerknes;CK Nittedal;;Menn Senior 19+;00:04:14;26;00:04:01;27;00:06:04;26;00:06:56;27;00:01:31;28;00:01:36;24;00:24:22;+00:04:55;M
27th;180;Axel Torjesen;Aron Sportsklubb;;Menn Senior 19+;00:04:22;27;00:04:16;28;00:06:09;27;00:07:15;28;00:01:29;27;00:01:39;27;00:25:10;+00:05:43;M
28th;248;Lachlan Cruickshank;;;Menn Senior 19+;00:03:45;18;00:03:33;13;00:17:42;28;00:05:57;15;00:01:15;14;00:01:22;15;00:33:34;+00:14:07;M
;194;Lars Vatnebryn Sandviken;Drammen CK;;Menn Senior 19+;;;;;;;DNF;;;;;;;;M
;198;Marius Eskelund;Drøbak-Frogn IL Sykkel;;Menn Senior 19+;;;;;;;DNF;;;;;;;;M
;201;Niklas Halvorsen;Kristiansands CK;;Menn Senior 19+;;;;;;;DNF;;;;;;;;M
;197;Marcus Søyland;Ryfylke SK;;Menn Senior 19+;;;;;;;DNF;;;;;;;;M
;186;Jens Bergmann;SK Rye sykkel;;Menn Senior 19+;;;;;;;DNF;;;;;;;;M
;204;Simon Andreas Hoff;NTNUI;;Menn Senior 19+;;;;;;;DNF;;;;;;;;M
