Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;Status
1;69;Reinis Martins;Prieditis;M;LV;Veloshops;FE1;Menn senior 17-39;2:40.3;0:00.0
22;65;Birk;Selquist;M;NO;Tromsø CK;FE4;Menn senior 17-39;5:33.3;1:07.9
6;59;Frode;Bredesen;M;NO;Harstad CK;FE4;Menn master;5:36.4;0:58.6
7;21;Peter;Nilsson;M;SE;Vesterålen SK;FE4;Menn master;5:41.1;1:03.3
23;55;Erik Eide;Bye;M;NO;NARVIK;FE4;Menn senior 17-39;5:41.6;1:16.2
24;45;Andreas;Seger;M;NO;NARVIK;FE4;Menn senior 17-39;5:42.4;1:17.0
8;13;Gisle;Enge;M;NO;HARSTAD;FE4;Menn master;5:42.4;1:04.6
25;24;Thomas;Ebeltoft;M;NO;STOKMARKNES;FE4;Menn senior 17-39;5:43.1;1:17.7
9;70;Bjørn-Ståle;Larsen;M;NO;Lofoten Ekstremsportklubb;FE4;Menn master;5:46.1;1:08.3
10;7;Jonas;Aksmo;M;NO;Lofoten Ekstremsportklubb / Jonas Aksmo;FE4;Menn master;5:49.2;1:11.4
2;64;Iselin;Kaspersen;F;NO;BFT;FE3;Kvinner senior 17-39;00:00.0;00:00.0;DNS
2;64;Iselin;Kaspersen;F;NO;BFT;FE4;Kvinner senior 17-39;5:49.6;0:19.7
11;48;Finn;Kuntze;M;NO;Harstad CK;FE4;Menn master;5:51.9;1:14.1
26;15;Jan-Ove;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE4;Menn senior 17-39;6:00.1;1:34.7
3;52;Siv;Kristoffersen;F;NO;Harstad CK;FE4;Kvinner senior 17-39;6:05.9;0:36.0
3;52;Siv;Kristoffersen;F;NO;Harstad CK;FE1;Kvinner senior 17-39;00:00.0;00:00.0;DNS
12;34;Fred;Olsen;M;NO;Harstad CK;FE4;Menn master;6:10.2;1:32.4
13;32;Jimmy;Johansen;M;NO;Lofoten Ekstremsportklubb;FE4;Menn master;6:12.9;1:35.1
27;8;Edgar;Korenkov;M;LV;STOKMARKNES;FE4;Menn senior 17-39;6:12.9;1:47.5
28;10;Espen Henriksen;Harper;M;NO;TROMSØ;FE4;Menn senior 17-39;6:18.3;1:52.9
29;51;Jahn-Erik;Solheim;M;NO;HARSTAD;FE4;Menn senior 17-39;6:22.1;1:56.7
30;72;Eirik;Djønne;M;NO;HARSTAD;FE4;Menn senior 17-39;6:24.5;1:59.1
4;9;Marte;Bergmann;F;NO;NARVIK;FE4;Kvinner senior 17-39;6:27.1;0:57.2
31;12;Morten Monland;Olavsbråten;M;NO;NARVIK;FE4;Menn senior 17-39;6:33.1;2:07.7
14;56;Gjøran;Sommarset;M;NO;HARSTAD;FE4;Menn master;6:36.5;1:58.7
32;11;Pål-Gunnar;Skog;M;NO;HARSTAD;FE4;Menn senior 17-39;7:21.6;2:56.2
15;43;Paul;Silester;M;NO;HARSTAD;FE4;Menn master;7:31.3;2:53.5
5;30;Rebekka;Laanke;F;NO;LEKNES;FE4;Kvinner senior 17-39;7:47.3;2:17.4
5;30;Rebekka;Laanke;F;NO;LEKNES;FE1;Kvinner senior 17-39;00:00.0;00:00.0;DNS
6;28;Oda;Førlie;F;NO;NARVIK;FE4;Kvinner senior 17-39;8:29.5;2:59.6
33;20;Håvar;Marsteen;M;NO;TROMSØ;FE4;Menn senior 17-39;9:09.8;4:44.4
34;66;Marius;Stamnes;M;NO;Harstad CK;FE4;Menn senior 17-39;10:47.1;6:21.7
35;38;Lars Linaker;Berglund;M;NO;Tromsø Enduro;FE4;Menn senior 17-39;16:27.6;12:02.2
36;61;Anders;Lagerström;M;SE;HARSTAD;FE4;Menn senior 17-39;41:28.3;37:02.9
37;60;Tord;Nese;M;NO;Bjørn Bygg;FE4;Menn senior 17-39;53:37.1;49:11.7
38;41;Rasmus;Moxnes;M;NO;Hestesletta Bikers;FE4;Menn senior 17-39;0:00.0;4:25.4
38;71;Gustav;Sandström;M;SE;Velosolution;FE4;Menn senior 17-39;0:00.0;4:25.4
16;36;Joar;Nilsen;M;NO;Narvik CK;FE4;Menn master;0:00.0;4:37.8
16;44;Bent;Ebeltoft;M;NO;Vesterålen SK;FE4;Menn master;0:00.0;4:37.8
38;19;Thomas;Hansen;M;NO;Harstad CK;FE4;Menn senior 17-39;0:00.0;4:25.4
38;67;Roger;Berge;M;NO;Harstad CK;FE4;Menn senior 17-39;0:00.0;4:25.4
16;4;Kristoffer;Kristoffersen;M;NO;Senja CK / Senja Sport AS;FE4;Menn master;0:00.0;4:37.8
38;62;Emil;Kloster Snekkevik;M;NO;TROMSØ;FE4;Menn senior 17-39;0:00.0;4:25.4
16;49;Stig;Solheim;M;NO;Harstad CK;FE4;Menn master;0:00.0;4:37.8
38;18;Hendrik;Kurrikoff;M;EE;Velosolutions;FE4;Menn senior 17-39;0:00.0;4:25.4
