Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
55;7;Geir;Jørgensen;M;NOR;OSLO;FE 2;M Senior;12:15.5;3:32.2;2016-08-28T12:13:27.0000000;OSLO
56;26;Tommy;Pham;M;NOR;OSLOSLO;FE 2;M Senior;12:18.3;3:35.0;2016-08-28T11:55:04.0000000;OSLOslo
57;44;Jon-Gunnar;Fredriksen;M;NOR;OSLO;FE 2;M Senior;12:20.5;3:37.2;2016-08-28T11:57:36.0000000;Oslo
58;73;Aleksander;Ødegård;M;NOR;Drammen CK;FE 2;M Senior;12:26.9;3:43.6;2016-08-28T12:26:11.0000000;KONGSBERG
59;151;Frank Sindre;Thoresen;M;NOR;Stiftstaden SK Trondheim;FE 2;M Senior;12:32.4;3:49.1;2016-08-28T11:49:00.0000000;TRONDHEIM
60;11;Eirik;Bækken;M;NOR;OS I ØSTERDALEN;FE 2;M Senior;12:33.0;3:49.7;2016-08-28T11:49:45.0000000;OS I ØSTERDALEN
61;90;Andreas Strømsvåg;Francke;M;NOR;IF Frøy;FE 2;M Senior;12:34.7;3:51.4;2016-08-28T11:58:19.0000000;Oslo
62;132;Dag Harald;Bakken;M;NOR;Røros IL Sykkel;FE 2;M Senior;12:37.5;3:54.2;2016-08-28T11:51:01.0000000;RØROS
63;82;Trym;Flaget;M;NOR;Hemsedal IL Sykkel;FE 2;M Senior;12:41.2;3:57.9;2016-08-28T11:58:56.0000000;Hemsedal
64;123;Trygve ;Sande;M;NOR;Oppdal SK / VPG;FE 2;M Senior;12:42.8;3:59.5;2016-08-28T11:41:37.0000000;
65;20;Viktor;Linnerö;M;SWE;ÅRE;FE 2;M Senior;12:44.7;4:01.4;2016-08-28T12:23:23.0000000;Åre
66;94;Stian;Hammer;M;NOR;IL Norodd;FE 2;M Senior;12:46.6;4:03.3;2016-08-28T12:07:59.0000000;Oslo
67;40;Stian;Engebretsen;M;NOR;SKEDSMOKORSET;FE 2;M Senior;12:46.6;4:03.3;2016-08-28T12:20:14.0000000;SKEDSMOKORSET
68;153;Frode;Sørøy;M;NOR;TVK;FE 2;M Senior;12:46.8;4:03.5;2016-08-28T12:10:11.0000000;HEIMDAL
69;14;Kasper;Madsen;M;NOR;BEITOSTØLEN;FE 2;M Senior;12:57.8;4:14.5;2016-08-28T12:08:38.0000000;BEITOSTØLEN
70;29;Colin;Furmston;M;AUS;OTTESTAD;FE 2;M Senior;12:58.3;4:15.0;2016-08-28T12:20:01.0000000;OTTESTAD
71;79;Robert;Torp;M;NOR;Gresvik IF;FE 2;M Senior;13:10.7;4:27.4;2016-08-28T12:00:33.0000000;Fredrikstad
72;59;Henrik;Muhlbradt;M;NOR;Bærum OCK;FE 2;M Senior;13:18.0;4:34.7;2016-08-28T12:01:59.0000000;Oslo
73;127;Stian;Eilifsen;M;NOR;Romeriksåsen SK;FE 2;M Senior;13:36.8;4:53.5;2016-08-28T12:19:10.0000000;SKJETTEN
74;128;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;FE 2;M Senior;13:45.6;5:02.3;2016-08-28T12:19:42.0000000;Gjerdrum
75;23;Ketil;Lindberg;M;NOR;TRONDHEIM;FE 2;M Senior;13:47.1;5:03.8;2016-08-28T11:59:43.0000000;TRONDHEIM
76;42;Svenn Morten;Iversen;M;NOR;NAMSOS;FE 2;M Senior;13:47.7;5:04.4;2016-08-28T12:13:17.0000000;NAMSOS
77;68;Andreas;Klette;M;NOR;Bodø Freeride Team;FE 2;M Senior;13:52.5;5:09.2;2016-08-28T12:21:38.0000000;BODØ
78;93;Eivind;Bjerke;M;NOR;IK Hero;FE 2;M Senior;13:55.6;5:12.3;2016-08-28T12:14:12.0000000;OSLO
79;45;Lasse;Storholt;M;NOR;HYGGEN;FE 2;M Senior;14:02.0;5:18.7;2016-08-28T12:07:00.0000000;HYGGEN
80;116;Sindre;Støer;M;NOR;Oppdal SK;FE 2;M Senior;14:06.9;5:23.6;2016-08-28T12:32:15.0000000;Gjettum
81;95;Tomas;Hånde;M;NOR;IL Norodd;FE 2;M Senior;14:13.1;5:29.8;2016-08-28T12:11:23.0000000;KRISTIANSUND N
82;150;Geir;Hanssen;M;NOR;Stiftstaden SK Trondheim;FE 2;M Senior;14:16.5;5:33.2;2016-08-28T12:22:42.0000000;Trondheim
83;47;Jostein;Semb;M;NOR;GJERDRUM;FE 2;M Senior;14:21.0;5:37.7;2016-08-28T12:19:08.0000000;GJERDRUM
84;25;Ole Henrik Løland;Eriksen;M;NOR;OSLO;FE 2;M Senior;14:24.1;5:40.8;2016-08-28T12:14:53.0000000;OSLO
85;27;Bartek;Wichrowski;M;NOR;KRISTIANSUND N;FE 2;M Senior;14:24.6;5:41.3;2016-08-28T12:04:16.0000000;KRISTIANSUND N
86;101;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;FE 2;M Senior;14:41.1;5:57.8;2016-08-28T12:26:47.0000000;Kongsberg
87;56;Torolv;Bjørnsgaard;M;NOR;Asker CK;FE 2;M Senior;14:58.9;6:15.6;2016-08-28T12:33:03.0000000;Lommedalen
88;12;Anders;Lundestad;M;NOR;MOSJØEN;FE 2;M Senior;15:08.5;6:25.2;2016-08-28T12:19:08.0000000;MOSJØEN
89;18;Magnus;Jansson;M;NOR;ÅRE;FE 2;M Senior;15:18.5;6:35.2;2016-08-28T12:25:24.0000000;Åre
90;22;Tor Arne;Holen;M;NOR;TORP;FE 2;M Senior;15:21.9;6:38.6;2016-08-28T12:26:15.0000000;TORP
91;36;Stein Kåre;Øfjord;M;NOR;NITTEDAL;FE 2;M Senior;15:31.4;6:48.1;2016-08-28T12:13:20.0000000;NITTEDAL
92;41;Peter;Weir;M;NOR;NYBORG;FE 2;M Senior;15:38.4;6:55.1;2016-08-28T12:17:52.0000000;NYBORG
93;1;Adam;Hahne;M;NOR;KOLBOTN;FE 2;M Senior;15:39.7;6:56.4;2016-08-28T12:17:59.0000000;Kolbotn
94;143;Lars Kristian;Günther;M;NOR;Skjeberg CK;FE 2;M Senior;16:09.5;7:26.2;2016-08-28T12:25:33.0000000;DEGERNES
95;24;Preben Lunde;Simonsen;M;NOR;TRONDHEIM;FE 2;M Senior;17:14.9;8:31.6;2016-08-28T12:34:44.0000000;TRONDHEIM
96;9;Nikolai;Sele;M;NOR;SANDANE;FE 2;M Senior;21:18.5;12:35.2;2016-08-28T11:46:31.0000000;SANDANE
97;159;Martin;Haugland;M;NOR;IL Norodd;FE 2;M Senior;24:44.3;16:01.0;2016-08-28T12:11:43.0000000;KRISTIANSUND N
98;35;Lars Thore;Aarrestad;M;NOR;TRONDHEIM;FE 2;M Senior;27:12.6;18:29.3;2016-08-28T12:34:46.0000000;TRONDHEIM
1;53;Stina;Bondehagen;F;NOR;Aron Skiklubb;FE 3;K Senior;21:35.6;0:00.0;2016-08-28T13:26:40.4530000;Oslo
2;160;Hilde;Strædet;F;NOR;Kristiansands CK;FE 3;K Senior;21:40.2;0:04.6;2016-08-28T13:22:28.3250000;Kristiansand S
3;84;Helene Thon;Moland;F;NOR;Hemsedal IL Sykkel;FE 3;K Senior;23:21.3;1:45.7;2016-08-28T13:23:43.4650000;Hosle
4;161;Ida;Håkonsson;F;NOR;SK Rye Sykkel;FE 3;K Senior;23:28.0;1:52.4;2016-08-28T14:11:30.5550000;Oslo
5;109;Anne;Melbo;F;NOR;Molde CK;FE 3;K Senior;23:29.4;1:53.8;2016-08-28T14:11:20.8750000;Molde
6;43;Anette Røssum;Bastnes;F;NOR;OSLO;FE 3;K Senior;23:40.9;2:05.3;2016-08-28T14:11:57.8650000;Oslo
7;74;Alice;Grindheim;F;NOR;Drammen CK;FE 3;K Senior;23:58.5;2:22.9;2016-08-28T14:10:46.7510000;Oslo
8;91;Marte;Lund;F;NOR;IF Frøy;FE 3;K Senior;24:58.2;3:22.6;2016-08-28T13:40:01.0000000;Oslo
9;98;Julie;Appelkvist;F;NOR;IL Stjørdals-Blink;FE 3;K Senior;25:29.6;3:54.0;2016-08-28T13:59:27.8550000;TRONDHEIM
10;50;Silje Katarina;Holmsen;F;NOR;Aron Skiklubb;FE 3;K Senior;25:53.9;4:18.3;2016-08-28T13:32:17.2550000;Drammen
11;105;Julia;Hamre;F;SWE;Lågen CK;FE 3;K Senior;26:17.2;4:41.6;2016-08-28T13:34:04.9710000;Ringebu
12;122;Eva;Spilleth;F;NOR;Oppdal SK;FE 3;K Senior;27:00.9;5:25.3;2016-08-28T14:04:54.1860000;VOGNILL
13;6;Marit;Rolvsjord;F;NOR;OPPDAL;FE 3;K Senior;27:51.9;6:16.3;2016-08-28T14:06:34.0990000;OPPDAL
14;97;Siv;Kristoffersen;F;NOR;IL Norodd;FE 3;K Senior;31:05.9;9:30.3;2016-08-28T14:04:27.3670000;Kristiansund N
15;52;Silje;Gjerde;F;NOR;Aron Skiklubb;FE 3;K Senior;33:13.3;11:37.7;2016-08-28T13:46:14.0010000;OSLO
1;141;Zakarias Blom;Johansen;M;NOR;SK Rye sykkel;FE 3;M Senior;16:49.5;0:00.0;2016-08-28T13:08:06.7180000;Kolsås
2;66;Espen;Johnsen;M;NOR;Bergen MTB Klubb;FE 3;M Senior;17:51.3;1:01.8;2016-08-28T13:09:09.7040000;Bergen
3;115;Andreas;Øhrn;M;NOR;Oppdal SK;FE 3;M Senior;17:59.3;1:09.8;2016-08-28T13:11:38.0000000;OPPDAL
4;63;Preben;Nøkleby;M;NOR;Bergen MTB Klubb;FE 3;M Senior;18:03.9;1:14.4;2016-08-28T13:10:18.0000000;BERGEN
5;72;Lars;Sandviken;M;NOR;Drammen CK;FE 3;M Senior;18:07.4;1:17.9;2016-08-28T13:10:32.0000000;KONGSBERG
6;142;Thomas;Klingenberg;M;NOR;SK Rye sykkel;FE 3;M Senior;18:40.6;1:51.1;2016-08-28T13:09:55.0000000;Oslo
7;17;Magnus;Drøpping;M;NOR;TRONDHEIM;FE 3;M Senior;19:01.2;2:11.7;2016-08-28T13:18:26.7410000;TRONDHEIM
8;92;Simon;Johansson;M;SWE;IK Hero;FE 3;M Senior;19:05.6;2:16.1;2016-08-28T13:12:48.0000000;Slependen
9;148;Tage Rickard;Sundell;M;SWE;Sogn CK;FE 3;M Senior;19:09.6;2:20.1;2016-08-28T13:13:32.0000000;LEIKANGER
10;111;Pål;Nakken;M;NOR;Molde CK;FE 3;M Senior;19:22.0;2:32.5;2016-08-28T13:33:06.7830000;Molde
11;89;Erlend Hegrum;Askjer;M;NOR;Horten og Omegn's Cykleklubb;FE 3;M Senior;19:23.9;2:34.4;2016-08-28T13:52:43.8760000;Horten
12;112;Johan;Schjerve;M;NOR;Namdal SK;FE 3;M Senior;19:24.7;2:35.2;2016-08-28T13:16:12.2490000;Namsos
13;51;Baard;Hellebostad;M;NOR;Aron Skiklubb;FE 3;M Senior;19:28.3;2:38.8;2016-08-28T13:13:21.0000000;Borgen
14;80;Pål;Grotnes;M;NOR;Gresvik IF;FE 3;M Senior;19:31.9;2:42.4;2016-08-28T13:32:36.3250000;Fredrikstad
15;149;Øyvind;Sætra;M;NOR;Sogn CK;FE 3;M Senior;19:42.2;2:52.7;2016-08-28T13:14:34.7780000;Sogndal
16;157;Kristoffer;Haugland;M;NOR;OSLO;FE 3;M Senior;19:49.0;2:59.5;2016-08-28T13:12:26.0000000;OSLO
17;57;Mathias Huuse;Marley;M;NOR;Bærum OCK;FE 3;M Senior;19:51.2;3:01.7;2016-08-28T13:15:16.5410000;Oslo
18;120;Snorre;Setrom;M;NOR;Oppdal SK;FE 3;M Senior;19:53.3;3:03.8;2016-08-28T13:17:40.3300000;OPPDAL
19;125;John Ola;Buøy;M;NOR;Orkla CK;FE 3;M Senior;20:05.7;3:16.2;2016-08-28T13:25:29.8080000;Buvika
20;85;Magnus;Grönberg;M;NOR;Hemsedal IL Sykkel;FE 3;M Senior;20:13.7;3:24.2;2016-08-28T13:43:29.3090000;Hemsedal
21;126;Nils Bjarne;Krohn;M;NOR;Rauma SK;FE 3;M Senior;20:24.4;3:34.9;2016-08-28T13:39:08.5550000;Åndalsnes
22;3;Björn;Larsson;M;SWE;JÄRPEN;FE 3;M Senior;20:37.9;3:48.4;2016-08-28T14:07:15.5700000;Järpen
23;8;Espen;Kebely;M;NOR;NØTTERØY;FE 3;M Senior;20:41.0;3:51.5;2016-08-28T13:21:23.6540000;Nøtterøy
24;37;Øyvind;Hem;M;NOR;OPPDAL;FE 3;M Senior;20:45.7;3:56.2;2016-08-28T13:20:49.5640000;Oppdal
25;118;Simen Bjerke;Bekken;M;NOR;Oppdal SK;FE 3;M Senior;20:48.1;3:58.6;2016-08-28T13:18:28.2870000;OPPDAL
26;103;Morgan;Bakken;M;NOR;Kragerø SK;FE 3;M Senior;20:52.9;4:03.4;2016-08-28T13:15:15.5820000;Kragerø
27;108;Kenneth;Bjørseth;M;NOR;Molde CK;FE 3;M Senior;20:58.6;4:09.1;2016-08-28T13:27:20.6280000;Molde
28;58;Pål Einar;Spilleth;M;NOR;Bærum OCK;FE 3;M Senior;20:59.5;4:10.0;2016-08-28T13:24:33.7430000;OSLO
29;65;Anders;Veland;M;NOR;Bergen MTB Klubb;FE 3;M Senior;21:00.7;4:11.2;2016-08-28T13:34:26.5790000;SOGNDAL
30;99;Kim;Andersen;M;NOR;Kolbotn SK;FE 3;M Senior;21:12.4;4:22.9;2016-08-28T13:47:28.4030000;SOFIEMYR
31;60;Arild;Gravdal;M;NOR;Bergen MTB Klubb;FE 3;M Senior;21:28.0;4:38.5;2016-08-28T13:35:19.0110000;Øvre Ervik
32;107;Tom;Ruud;M;NOR;Lillehammer CK;FE 3;M Senior;21:29.9;4:40.4;2016-08-28T13:28:28.4710000;Lillehammer
33;139;Harald;Brekke;M;NOR;SK Rye sykkel;FE 3;M Senior;21:32.6;4:43.1;2016-08-28T14:08:55.2930000;Snarøya
34;106;Magnus Kalstad;Forseth;M;NOR;Lillehammer CK;FE 3;M Senior;21:42.7;4:53.2;2016-08-28T13:23:22.7010000;LILLEHAMMER
35;30;Martin;Svendsen;M;NOR;OSLO;FE 3;M Senior;21:46.7;4:57.2;2016-08-28T13:45:25.0950000;Oslo
36;88;Per Christian;Dahl;M;NOR;Hemsedal IL Sykkel;FE 3;M Senior;21:50.6;5:01.1;2016-08-28T13:45:51.3890000;HEMSEDAL
37;49;Jørgen;Heir;M;NOR;Aron Skiklubb;FE 3;M Senior;21:52.2;5:02.7;2016-08-28T13:17:58.7500000;Kongsberg
38;31;Bård;Smestad;M;NOR;JAKOBSLI;FE 3;M Senior;21:57.0;5:07.5;2016-08-28T13:24:27.9920000;JAKOBSLI
39;119;Håkon;Mæhle;M;NOR;Oppdal SK;FE 3;M Senior;21:57.7;5:08.2;2016-08-28T13:20:36.5580000;
40;123;Trygve ;Sande;M;NOR;Oppdal SK / VPG;FE 3;M Senior;22:02.1;5:12.6;2016-08-28T13:19:50.0010000;
41;134;Odd Magnus;Guldal;M;NOR;SK Rye sykkel;FE 3;M Senior;22:07.7;5:18.2;2016-08-28T14:03:13.0140000;Oslo
42;61;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;FE 3;M Senior;22:15.2;5:25.7;2016-08-28T13:46:49.0770000;BERGEN
43;154;Mathias;Strøm;M;NOR;TVK;FE 3;M Senior;22:19.1;5:29.6;2016-08-28T13:28:36.6240000;Namsos
44;81;Jørgen;Tollefsrud;M;NOR;Hasle-Løren IL;FE 3;M Senior;22:20.3;5:30.8;2016-08-28T13:32:38.2680000;Oslo
45;4;Henning;Hovlan;M;NOR;BÆRUMS VERK;FE 3;M Senior;22:24.7;5:35.2;2016-08-28T13:17:13.8820000;BÆRUMS VERK
46;48;Daniel;Bengtsson;M;SWE;DUVED;FE 3;M Senior;22:26.0;5:36.5;2016-08-28T14:08:29.3280000;Duved
47;19;Øystein T.;Christensen;M;NOR;TRONDHEIM;FE 3;M Senior;22:27.4;5:37.9;2016-08-28T13:43:29.9260000;TRONDHEIM
48;11;Eirik;Bækken;M;NOR;OS I ØSTERDALEN;FE 3;M Senior;22:31.2;5:41.7;2016-08-28T13:18:58.7300000;OS I ØSTERDALEN
49;121;Rune;Gundersen;M;NOR;Oppdal SK;FE 3;M Senior;22:33.9;5:44.4;2016-08-28T13:25:06.3030000;VOGNILL
50;64;Mads;Øftshus;M;NOR;Bergen MTB Klubb;FE 3;M Senior;22:36.9;5:47.4;2016-08-28T13:36:00.4810000;BERGEN
51;44;Jon-Gunnar;Fredriksen;M;NOR;OSLO;FE 3;M Senior;22:41.9;5:52.4;2016-08-28T13:33:21.9970000;Oslo
52;158;Olav;Fosshaugen;M;NOR;OSLO;FE 3;M Senior;22:45.5;5:56.0;2016-08-28T13:29:57.1850000;OSLO
53;137;Nicolas Yann;Couturier;M;FRA;SK Rye sykkel;FE 3;M Senior;22:51.1;6:01.6;2016-08-28T14:07:07.5490000;Oslo
54;26;Tommy;Pham;M;NOR;OSLOSLO;FE 3;M Senior;22:52.2;6:02.7;2016-08-28T13:46:04.6700000;OSLOslo
55;34;Magnus;Innerdal;M;NOR;RANHEIM;FE 3;M Senior;22:55.5;6:06.0;2016-08-28T13:37:43.3300000;RANHEIM
56;90;Andreas Strømsvåg;Francke;M;NOR;IF Frøy;FE 3;M Senior;22:58.0;6:08.5;2016-08-28T13:36:53.6730000;Oslo
57;132;Dag Harald;Bakken;M;NOR;Røros IL Sykkel;FE 3;M Senior;23:00.7;6:11.2;2016-08-28T13:30:54.5410000;RØROS
58;7;Geir;Jørgensen;M;NOR;OSLO;FE 3;M Senior;23:07.8;6:18.3;2016-08-28T13:41:52.8620000;OSLO
59;73;Aleksander;Ødegård;M;NOR;Drammen CK;FE 3;M Senior;23:11.3;6:21.8;2016-08-28T14:01:45.0110000;KONGSBERG
60;76;Christoffer Engebretsen;Bakke;M;NOR;Drøbak-Frogn IL Sykkel;FE 3;M Senior;23:17.7;6:28.2;2016-08-28T13:55:22.9340000;VESTBY
61;20;Viktor;Linnerö;M;SWE;ÅRE;FE 3;M Senior;23:35.4;6:45.9;2016-08-28T14:09:21.4550000;Åre
62;153;Frode;Sørøy;M;NOR;TVK;FE 3;M Senior;23:37.2;6:47.7;2016-08-28T13:38:21.2000000;HEIMDAL
63;29;Colin;Furmston;M;AUS;OTTESTAD;FE 3;M Senior;23:44.4;6:54.9;2016-08-28T13:59:16.6760000;OTTESTAD
64;155;Marius;Hopen;M;NOR;TVK;FE 3;M Senior;23:44.4;6:54.9;2016-08-28T13:39:34.8490000;HEIMDAL
65;14;Kasper;Madsen;M;NOR;BEITOSTØLEN;FE 3;M Senior;23:50.3;7:00.8;2016-08-28T13:40:53.3050000;BEITOSTØLEN
66;40;Stian;Engebretsen;M;NOR;SKEDSMOKORSET;FE 3;M Senior;24:02.5;7:13.0;2016-08-28T13:57:46.5470000;SKEDSMOKORSET
67;94;Stian;Hammer;M;NOR;IL Norodd;FE 3;M Senior;24:15.6;7:26.1;2016-08-28T13:39:59.5980000;Oslo
68;79;Robert;Torp;M;NOR;Gresvik IF;FE 3;M Senior;24:36.6;7:47.1;2016-08-28T13:32:57.0480000;Fredrikstad
69;59;Henrik;Muhlbradt;M;NOR;Bærum OCK;FE 3;M Senior;24:42.0;7:52.5;2016-08-28T13:26:54.8330000;Oslo
70;82;Trym;Flaget;M;NOR;Hemsedal IL Sykkel;FE 3;M Senior;24:45.0;7:55.5;2016-08-28T13:49:04.3530000;Hemsedal
71;127;Stian;Eilifsen;M;NOR;Romeriksåsen SK;FE 3;M Senior;24:56.9;8:07.4;2016-08-28T14:02:50.8930000;SKJETTEN
72;68;Andreas;Klette;M;NOR;Bodø Freeride Team;FE 3;M Senior;25:22.9;8:33.4;2016-08-28T13:56:31.1070000;BODØ
73;23;Ketil;Lindberg;M;NOR;TRONDHEIM;FE 3;M Senior;25:29.2;8:39.7;2016-08-28T13:37:42.8700000;TRONDHEIM
74;45;Lasse;Storholt;M;NOR;HYGGEN;FE 3;M Senior;25:46.7;8:57.2;2016-08-28T13:28:45.1790000;HYGGEN
75;25;Ole Henrik Løland;Eriksen;M;NOR;OSLO;FE 3;M Senior;25:58.1;9:08.6;2016-08-28T13:43:04.8470000;OSLO
76;128;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;FE 3;M Senior;25:58.8;9:09.3;2016-08-28T13:51:13.8090000;Gjerdrum
77;42;Svenn Morten;Iversen;M;NOR;NAMSOS;FE 3;M Senior;26:10.2;9:20.7;2016-08-28T13:51:53.2180000;NAMSOS
78;93;Eivind;Bjerke;M;NOR;IK Hero;FE 3;M Senior;26:14.3;9:24.8;2016-08-28T13:42:49.1460000;OSLO
79;116;Sindre;Støer;M;NOR;Oppdal SK;FE 3;M Senior;26:17.7;9:28.2;2016-08-28T13:59:11.6800000;Gjettum
80;101;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;FE 3;M Senior;26:20.8;9:31.3;2016-08-28T13:57:40.4600000;Kongsberg
81;47;Jostein;Semb;M;NOR;GJERDRUM;FE 3;M Senior;26:25.0;9:35.5;2016-08-28T14:04:04.6700000;GJERDRUM
82;150;Geir;Hanssen;M;NOR;Stiftstaden SK Trondheim;FE 3;M Senior;26:49.0;9:59.5;2016-08-28T13:58:02.9620000;Trondheim
83;18;Magnus;Jansson;M;NOR;ÅRE;FE 3;M Senior;27:00.5;10:11.0;2016-08-28T14:08:42.4970000;Åre
84;27;Bartek;Wichrowski;M;NOR;KRISTIANSUND N;FE 3;M Senior;27:07.6;10:18.1;2016-08-28T13:45:13.3830000;KRISTIANSUND N
85;56;Torolv;Bjørnsgaard;M;NOR;Asker CK;FE 3;M Senior;27:21.9;10:32.4;2016-08-28T13:59:53.7290000;Lommedalen
86;95;Tomas;Hånde;M;NOR;IL Norodd;FE 3;M Senior;27:27.0;10:37.5;2016-08-28T13:33:14.5810000;KRISTIANSUND N
87;12;Anders;Lundestad;M;NOR;MOSJØEN;FE 3;M Senior;27:45.9;10:56.4;2016-08-28T13:50:38.0380000;MOSJØEN
88;36;Stein Kåre;Øfjord;M;NOR;NITTEDAL;FE 3;M Senior;27:58.4;11:08.9;2016-08-28T13:52:27.9630000;NITTEDAL
89;1;Adam;Hahne;M;NOR;KOLBOTN;FE 3;M Senior;28:06.5;11:17.0;2016-08-28T13:50:57.5310000;Kolbotn
90;22;Tor Arne;Holen;M;NOR;TORP;FE 3;M Senior;28:26.6;11:37.1;2016-08-28T14:02:05.6160000;TORP
91;143;Lars Kristian;Günther;M;NOR;Skjeberg CK;FE 3;M Senior;29:04.9;12:15.4;2016-08-28T14:02:26.2910000;DEGERNES
92;41;Peter;Weir;M;NOR;NYBORG;FE 3;M Senior;29:13.3;12:23.8;2016-08-28T13:47:05.7760000;NYBORG
93;24;Preben Lunde;Simonsen;M;NOR;TRONDHEIM;FE 3;M Senior;30:48.4;13:58.9;2016-08-28T14:15:04.1230000;TRONDHEIM
94;159;Martin;Haugland;M;NOR;IL Norodd;FE 3;M Senior;37:01.1;20:11.6;2016-08-28T13:31:47.7450000;KRISTIANSUND N
95;35;Lars Thore;Aarrestad;M;NOR;TRONDHEIM;FE 3;M Senior;38:06.4;21:16.9;2016-08-28T13:55:24.7410000;TRONDHEIM
1;53;Stina;Bondehagen;F;NOR;Aron Skiklubb;FE 4;K Senior;26:57.2;0:00.0;2016-08-28T15:01:52.0000000;Oslo
2;160;Hilde;Strædet;F;NOR;Kristiansands CK;FE 4;K Senior;27:03.4;0:06.2;2016-08-28T14:58:53.9710000;Kristiansand S
3;84;Helene Thon;Moland;F;NOR;Hemsedal IL Sykkel;FE 4;K Senior;29:06.0;2:08.8;2016-08-28T14:59:45.4480000;Hosle
4;109;Anne;Melbo;F;NOR;Molde CK;FE 4;K Senior;29:18.4;2:21.2;2016-08-28T15:36:19.7580000;Molde
5;74;Alice;Grindheim;F;NOR;Drammen CK;FE 4;K Senior;29:34.7;2:37.5;2016-08-28T15:37:36.9720000;Oslo
6;161;Ida;Håkonsson;F;NOR;SK Rye Sykkel;FE 4;K Senior;29:37.7;2:40.5;2016-08-28T15:40:10.2580000;Oslo
7;91;Marte;Lund;F;NOR;IF Frøy;FE 4;K Senior;31:23.4;4:26.2;2016-08-28T15:20:55.5950000;Oslo
8;98;Julie;Appelkvist;F;NOR;IL Stjørdals-Blink;FE 4;K Senior;31:44.2;4:47.0;2016-08-28T15:29:45.1670000;TRONDHEIM
9;50;Silje Katarina;Holmsen;F;NOR;Aron Skiklubb;FE 4;K Senior;31:57.2;5:00.0;2016-08-28T15:05:03.8140000;Drammen
10;105;Julia;Hamre;F;SWE;Lågen CK;FE 4;K Senior;32:52.8;5:55.6;2016-08-28T15:11:06.3510000;Ringebu
11;122;Eva;Spilleth;F;NOR;Oppdal SK;FE 4;K Senior;33:25.4;6:28.2;2016-08-28T15:32:55.4240000;VOGNILL
12;43;Anette Røssum;Bastnes;F;NOR;OSLO;FE 4;K Senior;33:58.4;7:01.2;2016-08-28T15:44:48.1750000;Oslo
13;6;Marit;Rolvsjord;F;NOR;OPPDAL;FE 4;K Senior;34:47.0;7:49.8;2016-08-28T15:36:55.7870000;OPPDAL
14;52;Silje;Gjerde;F;NOR;Aron Skiklubb;FE 4;K Senior;41:50.5;14:53.3;2016-08-28T15:23:37.7220000;OSLO
15;97;Siv;Kristoffersen;F;NOR;IL Norodd;FE 4;K Senior;42:34.8;15:37.6;2016-08-28T15:39:59.5670000;Kristiansund N
1;141;Zakarias Blom;Johansen;M;NOR;SK Rye sykkel;FE 4;M Senior;20:50.2;0:00.0;2016-08-28T14:45:02.0000000;Kolsås
2;66;Espen;Johnsen;M;NOR;Bergen MTB Klubb;FE 4;M Senior;22:06.0;1:15.8;2016-08-28T14:47:15.0000000;Bergen
3;115;Andreas;Øhrn;M;NOR;Oppdal SK;FE 4;M Senior;22:17.0;1:26.8;2016-08-28T14:46:18.0000000;OPPDAL
4;72;Lars;Sandviken;M;NOR;Drammen CK;FE 4;M Senior;22:23.2;1:33.0;2016-08-28T14:46:45.7080000;KONGSBERG
5;63;Preben;Nøkleby;M;NOR;Bergen MTB Klubb;FE 4;M Senior;22:29.4;1:39.2;2016-08-28T14:45:55.4370000;BERGEN
6;142;Thomas;Klingenberg;M;NOR;SK Rye sykkel;FE 4;M Senior;23:17.8;2:27.6;2016-08-28T14:48:07.8070000;Oslo
7;17;Magnus;Drøpping;M;NOR;TRONDHEIM;FE 4;M Senior;23:40.1;2:49.9;2016-08-28T14:52:39.0000000;TRONDHEIM
8;92;Simon;Johansson;M;SWE;IK Hero;FE 4;M Senior;23:47.6;2:57.4;2016-08-28T14:49:42.3620000;Slependen
9;148;Tage Rickard;Sundell;M;SWE;Sogn CK;FE 4;M Senior;23:48.0;2:57.8;2016-08-28T14:54:08.7730000;LEIKANGER
10;111;Pål;Nakken;M;NOR;Molde CK;FE 4;M Senior;23:57.4;3:07.2;2016-08-28T14:50:35.8070000;Molde
11;112;Johan;Schjerve;M;NOR;Namdal SK;FE 4;M Senior;23:59.0;3:08.8;2016-08-28T14:49:04.0000000;Namsos
12;51;Baard;Hellebostad;M;NOR;Aron Skiklubb;FE 4;M Senior;24:03.5;3:13.3;2016-08-28T14:50:05.1160000;Borgen
13;89;Erlend Hegrum;Askjer;M;NOR;Horten og Omegn's Cykleklubb;FE 4;M Senior;24:13.2;3:23.0;2016-08-28T15:21:49.6470000;Horten
14;80;Pål;Grotnes;M;NOR;Gresvik IF;FE 4;M Senior;24:17.0;3:26.8;2016-08-28T15:07:15.5990000;Fredrikstad
15;149;Øyvind;Sætra;M;NOR;Sogn CK;FE 4;M Senior;24:27.0;3:36.8;2016-08-28T14:51:15.4960000;Sogndal
