Pos Klasse;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;FE8;FE8 Pos;chiptime;diff;gender
22nd;51;Asbjørn Steensland;;Senior Menn;00:01:17;17;00:02:06;14;00:02:12;40;00:01:45;28;00:03:23;31;00:01:07;19;00:02:31;24;00:00:34;17;00:14:55;+00:02:03;M
23rd;117;Fredrik Carlsen;MTBoyz;Senior Menn;00:01:21;31;00:02:19;44;00:02:08;29;00:01:47;36;00:03:08;11;00:01:13;47;00:02:26;17;00:00:36;35;00:14:58;+00:02:06;M
24th;79;Knut Erik Haugen;CK Nittedal;Senior Menn;00:01:22;38;00:02:14;27;00:02:06;27;00:01:44;24;00:03:17;23;00:01:10;30;00:02:30;22;00:00:36;35;00:14:59;+00:02:07;M
25th;84;Iver Skustad;Aron Sportsklubb;Senior Menn;00:01:20;25;00:02:15;28;00:02:05;25;00:01:47;36;00:03:22;29;00:01:08;25;00:02:32;25;00:00:35;24;00:15:04;+00:02:12;M
26th;62;Odd Steffen Nygaard;MOT GYM;Senior Menn;00:01:22;38;00:02:16;32;00:02:09;31;00:01:44;24;00:03:18;25;00:01:10;30;00:02:33;27;00:00:35;24;00:15:07;+00:02:15;M
27th;91;Marcus Søyland;Ryfylke SK;Senior Menn;00:01:18;22;00:02:13;26;00:02:01;16;00:01:45;28;00:03:34;43;00:01:08;25;00:02:37;32;00:00:34;17;00:15:10;+00:02:18;M
28th;32;Gøran Høyvik Ulltang;Bø idretslag;Senior Menn;00:01:21;31;00:02:15;28;00:02:04;22;00:01:47;36;00:03:22;29;00:01:13;47;00:02:34;29;00:00:36;35;00:15:12;+00:02:20;M
29th;65;Lars Fredric Nordbakken;Romeriksåsen SK;Senior Menn;00:01:23;47;00:02:17;37;00:02:12;40;00:01:44;24;00:03:21;27;00:01:13;47;00:02:37;32;00:00:37;48;00:15:24;+00:02:32;M
30th;22;Justas Steponaitis;;Senior Menn;00:01:21;31;00:02:15;28;00:02:14;50;00:01:46;34;00:03:17;23;00:01:11;36;00:02:45;46;00:00:36;35;00:15:25;+00:02:33;M
31st;89;Stian Reite;Korttråkkerne;Senior Menn;00:01:21;31;00:02:17;37;00:02:11;36;00:01:45;28;00:03:27;34;00:01:11;36;00:02:36;30;00:00:37;48;00:15:25;+00:02:33;M
32nd;108;Stian Rismyhr;Siggerud IL sykkel;Senior Menn;00:01:22;38;00:02:16;32;00:02:08;29;00:01:45;28;00:03:24;32;00:01:12;43;00:02:41;39;00:00:38;59;00:15:26;+00:02:34;M
33rd;128;Michal Ciesinski;Aron Sportsklubb;Senior Menn;00:01:22;38;00:02:18;41;00:02:15;52;00:01:42;18;00:03:28;36;00:01:15;57;00:02:37;32;00:00:36;35;00:15:33;+00:02:41;M
34th;99;Christoffer Borge Olsen;Aron Sportsklubb;Senior Menn;00:01:23;47;00:02:20;48;00:02:11;36;00:01:45;28;00:03:31;38;00:01:15;57;00:02:36;30;00:00:36;35;00:15:37;+00:02:45;M
35th;98;Knut Arne Letterud;Asker CK;Senior Menn;00:01:27;66;00:02:19;44;00:02:11;36;00:01:49;49;00:03:31;38;00:01:06;17;00:02:39;35;00:00:37;48;00:15:39;+00:02:47;M
36th;44;Magnus Olsen;;Senior Menn;00:01:20;25;00:02:20;48;00:02:12;40;00:01:48;42;00:03:34;43;00:01:10;30;00:02:43;41;00:00:35;24;00:15:42;+00:02:50;M
37th;37;Henrik Jensen;;Senior Menn;00:01:20;25;00:02:16;32;00:02:19;59;00:01:50;55;00:03:33;41;00:01:09;29;00:02:42;40;00:00:35;24;00:15:44;+00:02:52;M
38th;105;Kay Wågbø;Moss BMX;Senior Menn;00:01:21;31;00:02:20;48;00:02:13;46;00:01:48;42;00:03:33;41;00:01:11;36;00:02:44;43;00:00:35;24;00:15:45;+00:02:53;M
39th;111;Christopher Fredriksen;KCK;Senior Menn;00:01:21;31;00:02:17;37;00:02:12;40;00:01:49;49;00:03:38;49;00:01:07;19;00:02:46;47;00:00:35;24;00:15:45;+00:02:53;M
40th;100;Anders Todal Johnsrud;Krokskogen Cykleklubb;Senior Menn;00:01:24;53;00:02:22;53;00:02:10;34;00:01:51;57;00:03:32;40;00:01:11;36;00:02:39;35;00:00:37;48;00:15:46;+00:02:54;M
41st;40;Joakim Melby;;Senior Menn;00:01:20;25;00:02:19;44;00:02:16;53;00:01:47;36;00:03:41;52;00:01:10;30;00:02:39;35;00:00:35;24;00:15:47;+00:02:55;M
42nd;94;Tobias Bjerknes;CK Nittedal;Senior Menn;00:01:25;56;00:02:25;64;00:02:10;34;00:01:49;49;00:03:30;37;00:01:11;36;00:02:44;43;00:00:36;35;00:15:50;+00:02:58;M
43rd;67;Paal Stormoen Wessel;;Senior Menn;00:01:22;38;00:02:24;62;00:02:11;36;00:01:51;57;00:03:36;46;00:01:12;43;00:02:39;35;00:00:37;48;00:15:52;+00:03:00;M
44th;29;Tony Gravdal;Gravdal Vvs;Senior Menn;00:01:29;70;00:02:21;51;00:02:14;50;00:01:47;36;00:03:27;34;00:01:14;52;00:02:43;41;00:00:38;59;00:15:53;+00:03:01;M
45th;82;Andreas Gjærde;VOTLNC;Senior Menn;00:01:24;53;00:02:21;51;00:02:12;40;00:01:48;42;00:03:38;49;00:01:10;30;00:02:50;54;00:00:37;48;00:16:00;+00:03:08;M
46th;123;Kenneth Alvestad-Vedelsten;Sande SpKl Sykkel;Senior Menn;00:01:20;25;00:02:19;44;00:02:01;16;00:01:50;55;00:03:54;68;00:01:17;67;00:02:47;49;00:00:36;35;00:16:04;+00:03:12;M
47th;30;Bjørn Sætnan;;Senior Menn;00:01:25;56;00:02:22;53;00:02:13;46;00:01:46;34;00:03:40;51;00:01:12;43;00:02:46;47;00:00:41;78;00:16:05;+00:03:13;M
48th;46;Martin Strøm;;Senior Menn;00:01:20;25;00:02:16;32;00:02:13;46;00:01:53;63;00:03:41;52;00:01:12;43;00:02:56;64;00:00:36;35;00:16:07;+00:03:15;M
49th;61;Christopher Condrup;Riviera Rumblers;Senior Menn;00:01:19;24;00:02:18;41;00:02:05;25;00:01:49;49;00:03:44;56;00:01:10;30;00:03:12;81;00:00:34;17;00:16:11;+00:03:19;M
50th;31;Frode Nysæter;Korttråkkerne;Senior Menn;00:01:23;47;00:02:23;58;00:02:21;64;00:01:48;42;00:03:36;46;00:01:13;47;00:02:49;52;00:00:39;66;00:16:12;+00:03:20;M
51st;95;Pål Johansen;Aron Sportsklubb;Senior Menn;00:01:23;47;00:02:16;32;00:02:09;31;00:01:48;42;00:03:56;70;00:01:15;57;00:02:47;49;00:00:39;66;00:16:13;+00:03:21;M
52nd;20;Douglas Thom;Mississippiskogen sti & terrengsykkellag;Senior Menn;00:02:59;92;00:02:11;21;00:02:06;27;00:01:42;18;00:03:10;14;00:01:04;14;00:02:27;18;00:00:35;24;00:16:14;+00:03:22;M
53rd;26;Olav Øvstebø;Ryfylke SK;Senior Menn;00:01:23;47;00:02:18;41;00:02:16;53;00:01:49;49;00:03:50;60;00:01:15;57;00:02:49;52;00:00:36;35;00:16:16;+00:03:24;M
54th;129;David Rentzhog;Fossum IF Sykkel;Senior Menn;00:01:25;56;00:02:23;58;00:02:12;40;00:01:55;68;00:03:44;56;00:01:14;52;00:02:50;54;00:00:35;24;00:16:18;+00:03:26;M
55th;24;Even Gulbrandsen;;Senior Menn;00:01:25;56;00:02:23;58;00:02:13;46;00:01:48;42;00:03:42;54;00:01:14;52;00:02:56;64;00:00:37;48;00:16:18;+00:03:26;M
56th;92;Lars Erik Finholt;Korttråkkerene;Senior Menn;00:01:25;56;00:02:23;58;00:02:24;72;00:01:48;42;00:03:37;48;00:01:19;72;00:02:44;43;00:00:38;59;00:16:18;+00:03:26;M
57th;57;Alexander Årmo;;Senior Menn;00:01:22;38;00:02:24;62;00:02:21;64;00:01:45;28;00:03:45;58;00:01:15;57;00:02:51;58;00:00:39;66;00:16:22;+00:03:30;M
58th;58;Christian Håkonsen;;Senior Menn;00:01:21;31;00:02:15;28;00:02:09;31;00:01:52;60;00:03:54;68;00:01:19;72;00:03:00;67;00:00:37;48;00:16:27;+00:03:35;M
59th;68;Aleksander Imset Wassum;Oslomarka Croissant- og Cruxeklubb;Senior Menn;00:01:26;64;00:02:27;68;00:02:17;56;00:01:53;63;00:03:35;45;00:01:19;72;00:02:53;60;00:00:40;71;00:16:30;+00:03:38;M
60th;121;Knut Kolvig;IF Frøy;Senior Menn;00:01:25;56;00:02:22;53;00:02:19;59;00:01:52;60;00:03:43;55;00:01:14;52;00:02:55;63;00:00:40;71;00:16:30;+00:03:38;M
61st;55;Nikolai Bentsen;;Senior Menn;00:01:22;38;00:02:25;64;00:02:22;67;00:01:54;66;00:03:53;66;00:01:11;36;00:02:48;51;00:00:36;35;00:16:31;+00:03:39;M
62nd;66;Magnus Aunan Jørgensen;;Senior Menn;00:01:24;53;00:02:26;66;00:02:18;57;00:01:55;68;00:03:52;64;00:01:11;36;00:02:54;61;00:00:37;48;00:16:37;+00:03:45;M
63rd;96;Sander Blomgren;Sb.auto;Senior Menn;00:01:26;64;00:02:26;66;00:02:19;59;00:01:53;63;00:03:53;66;00:01:16;64;00:02:52;59;00:00:36;35;00:16:41;+00:03:49;M
64th;130;Klym Danish;BunnyJump;Senior Menn;00:01:27;66;00:02:27;68;00:02:22;67;00:01:54;66;00:03:50;60;00:01:14;52;00:02:50;54;00:00:38;59;00:16:42;+00:03:50;M
65th;120;Axel Torjesen;;Senior Menn;00:01:25;56;00:02:22;53;00:02:16;53;00:02:05;84;00:03:51;62;00:01:16;64;00:02:50;54;00:00:39;66;00:16:44;+00:03:52;M
66th;35;Daniel Røyland;;Senior Menn;00:01:28;68;00:02:29;71;00:02:21;64;00:01:56;72;00:03:52;64;00:01:13;47;00:02:54;61;00:00:38;59;00:16:51;+00:03:59;M
67th;27;Olav Helland Stenersen;;Senior Menn;00:01:22;38;00:02:22;53;00:02:20;63;00:02:05;84;00:04:02;73;00:01:20;75;00:02:56;64;00:00:37;48;00:17:04;+00:04:12;M
68th;181;Richard Skyer;Korttråkkerne;Senior Menn;00:01:25;56;00:02:27;68;00:02:22;67;00:01:51;57;00:04:06;76;00:01:18;69;00:03:06;76;00:00:37;48;00:17:12;+00:04:20;M
69th;45;Marius Minster;;Senior Menn;00:01:29;70;00:02:33;74;00:02:18;57;00:01:52;60;00:04:05;75;00:01:16;64;00:03:01;68;00:00:38;59;00:17:12;+00:04:20;M
70th;23;Kim Kvaalen;;Senior Menn;00:01:29;70;00:02:36;80;00:02:22;67;00:01:49;49;00:03:51;62;00:01:24;82;00:03:01;68;00:00:40;71;00:17:12;+00:04:20;M
71st;56;William Kempton;Oslomarka Croissant- og Cruxeklubb;Senior Menn;00:01:34;83;00:02:35;76;00:02:26;73;00:01:58;74;00:03:45;58;00:01:18;69;00:03:05;74;00:00:40;71;00:17:21;+00:04:29;M
72nd;124;Simen Holm;Holmers;Senior Menn;00:01:33;80;00:02:35;76;00:02:29;78;00:01:55;68;00:03:56;70;00:01:22;80;00:03:02;70;00:00:42;82;00:17:34;+00:04:42;M
73rd;36;Daniel Ellefsen;Ellefsend Sk;Senior Menn;00:01:29;70;00:02:34;75;00:02:23;71;00:01:59;76;00:04:14;78;00:01:15;57;00:03:06;76;00:00:40;71;00:17:40;+00:04:48;M
74th;90;Stian Hammer;IL Norodd;Senior Menn;00:01:28;68;00:02:31;72;00:02:19;59;00:02:03;81;00:04:26;80;00:01:15;57;00:03:03;72;00:00:38;59;00:17:43;+00:04:51;M
75th;34;Simen Bjåland;;Senior Menn;00:01:29;70;00:02:35;76;00:02:32;80;00:02:03;81;00:04:06;76;00:01:20;75;00:03:05;74;00:00:40;71;00:17:50;+00:04:58;M
76th;25;Lars Tørhaugen;;Senior Menn;00:01:29;70;00:02:32;73;00:02:26;73;00:01:56;72;00:04:04;74;00:01:17;67;00:03:02;70;00:01:04;90;00:17:50;+00:04:58;M
77th;43;Magnus Lia;;Senior Menn;00:01:37;87;00:02:36;80;00:02:26;73;00:02:00;77;00:04:21;79;00:01:21;79;00:03:04;73;00:00:41;78;00:18:06;+00:05:14;M
78th;33;Johan Harris Chritensen;;Senior Menn;00:01:33;80;00:02:41;84;00:02:35;83;00:01:55;68;00:04:01;72;00:01:22;80;00:03:21;85;00:00:41;78;00:18:09;+00:05:17;M
79th;63;Bjørn Thomas Østby;;Senior Menn;00:01:33;80;00:02:46;85;00:02:28;77;00:02:04;83;00:04:29;82;00:01:29;88;00:03:07;78;00:00:36;35;00:18:32;+00:05:40;M
80th;131;Yuriy Lianguzov;Riviera Rumble;Senior Menn;00:01:32;78;00:02:50;88;00:02:32;80;00:02:01;78;00:04:28;81;00:01:20;75;00:03:08;79;00:00:44;86;00:18:35;+00:05:43;M
81st;115;Tore Nilsen;Romsås IL sykkel;Senior Menn;00:01:30;76;00:02:36;80;00:02:26;73;00:02:01;78;00:04:48;86;00:01:25;83;00:03:19;84;00:00:39;66;00:18:44;+00:05:52;M
82nd;54;Fredrik Holter;;Senior Menn;00:01:39;88;00:02:46;85;00:02:31;79;00:02:10;88;00:04:34;84;00:01:20;75;00:03:14;83;00:00:40;71;00:18:54;+00:06:02;M
83rd;116;Øyvind Prytz;SK Rye sykkel;Senior Menn;00:01:31;77;00:02:38;83;00:02:36;84;00:01:58;74;00:04:53;88;00:01:27;84;00:03:10;80;00:00:42;82;00:18:55;+00:06:03;M
84th;85;Jens Andre Jensen;Eiker CK;Senior Menn;00:01:32;78;00:02:35;76;00:02:34;82;00:02:06;86;00:04:43;85;00:01:27;84;00:03:31;87;00:00:43;84;00:19:11;+00:06:19;M
85th;50;Vegard Tverrås Haugen;;Senior Menn;00:01:36;86;00:02:51;89;00:02:38;85;00:02:01;78;00:04:33;83;00:01:27;84;00:03:24;86;00:00:43;84;00:19:13;+00:06:21;M
86th;86;Asle Ognedal;Eidanger IL;Senior Menn;00:01:34;83;00:02:49;87;00:02:39;86;00:02:06;86;00:04:49;87;00:01:27;84;00:03:13;82;00:00:41;78;00:19:18;+00:06:26;M
87th;126;Hugo Witek;;Senior Menn;00:01:17;17;00:02:11;21;00:04:41;90;00:01:43;21;00:03:18;25;00:01:07;19;00:03:48;89;00:01:42;91;00:19:47;+00:06:55;M
88th;73;Kim-Erik Larsen;Moss BMX;Senior Menn;00:01:12;6;00:02:00;6;00:10:09;91;00:01:38;6;00:02:56;7;00:01:02;11;00:02:21;8;00:00:32;4;00:21:50;+00:08:58;M
89th;47;Thomas Bastiansen;;Senior Menn;00:01:51;90;00:03:12;90;00:02:49;87;00:02:32;90;00:05:24;89;00:01:43;89;00:03:44;88;00:00:44;86;00:21:59;+00:09:07;M
90th;122;Michael Olofsson;;Senior Menn;00:01:50;89;00:03:45;92;00:03:35;88;00:02:29;89;00:06:25;90;00:01:59;90;00:04:35;90;00:00:52;88;00:25:30;+00:12:38;M
;49;Trygve Jensen;;Senior Menn;00:01:59;91;00:03:34;91;00:03:56;89;00:03:10;91;00:02:12;91;00:06:03;91;00:00:57;89;DNF;;;;M
;53;Fattig Industriarbeider;HHL;Senior Menn;00:01:11;00:07:17;00:06:58;00:02:32;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;127;Konrad Jakub Ogorek;;Senior Menn;00:01:34;83;00:00:43;1;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;72;Ole Christian Fagerli;IF Frøy;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;102;Marius Rønningen Diseth;CK Nittedal;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;69;Christian Maximillian Danielssen;;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;110;Håvard Tverberg;Tinn IL;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;41;Magnar Hauge;;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;109;Ola Myklatun Krosness;SK Rye sykkel;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;59;Kristoffer Heian;;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;81;Knut Myre;Team Letth;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;38;Herman Taxerås;Heggedal IL;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;83;Kristoffer Berdal;;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;107;Terje Unnerud;Mjølkerampa SK;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;39;Håvard Gardli;;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;87;Torjus Winther;Krokskogen Cykleklubb;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;93;Kjetil Øygard;Lillehammer CK;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;64;Daniel Waage Kyte;Riviera Rumble;Senior Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
1st;140;Kaja Thoresen;Asker CK;U21 Kvinner;00:01:34;1;00:02:45;1;00:02:30;1;00:02:13;1;00:04:14;1;00:01:25;1;00:03:11;1;00:00:56;1;00:18:48;;F
1st;147;William Scheele;SK Rye sykkel;U21 Menn;00:01:08;1;00:01:53;1;00:01:46;1;00:01:32;1;00:02:45;1;00:00:57;1;00:02:09;1;00:00:30;1;00:12:40;;M
2nd;149;Jonas Oudalstøl;Kristiansands CK;U21 Menn;00:01:10;2;00:02:01;2;00:01:52;2;00:01:36;3;00:02:56;2;00:01:02;2;00:02:14;2;00:00:31;2;00:13:22;+00:00:42;M
3rd;145;Mads Langeland;Kristiansands CK;U21 Menn;00:01:10;2;00:02:04;3;00:01:56;3;00:01:33;2;00:02:56;2;00:01:03;3;00:02:14;2;00:00:32;4;00:13:28;+00:00:48;M
4th;148;Oscar Saksvik;Asker CK;U21 Menn;00:01:15;5;00:02:10;6;00:02:01;5;00:01:40;5;00:03:13;5;00:01:06;6;00:02:29;8;00:00:32;4;00:14:26;+00:01:46;M
5th;144;Lars Dreyer;Hafrsfjord SK;U21 Menn;00:01:36;10;00:02:11;7;00:02:03;6;00:01:43;6;00:03:18;6;00:01:04;4;00:02:28;6;00:00:31;2;00:14:54;+00:02:14;M
6th;150;Alexander Sandengen;Aron Sportsklubb;U21 Menn;00:01:19;7;00:02:14;8;00:02:04;7;00:01:47;7;00:03:25;7;00:01:10;7;00:02:28;6;00:00:35;7;00:15:02;+00:02:22;M
7th;146;Tobias Hoel Sandengen;Aron Sportsklubb;U21 Menn;00:01:16;6;00:02:08;5;00:02:04;7;00:01:49;9;00:03:46;10;00:01:10;7;00:02:26;5;00:00:36;9;00:15:15;+00:02:35;M
8th;151;Mads Henrik Kjemperud;Modum CK;U21 Menn;00:01:21;8;00:02:15;9;00:02:05;9;00:01:50;10;00:03:32;8;00:01:05;5;00:02:43;10;00:00:35;7;00:15:26;+00:02:46;M
9th;142;Erlend Ruud;Flytsti;U21 Menn;00:01:23;9;00:02:20;10;00:02:13;10;00:01:47;7;00:03:32;8;00:01:12;9;00:02:37;9;00:00:37;10;00:15:41;+00:03:01;M
;143;Mikkel Pedersen;IF Frøy;U21 Menn;00:01:14;4;00:02:05;4;00:01:59;4;00:01:39;4;00:03:01;4;00:02:23;4;00:00:33;6;;DNF;;;M
;141;Jens Vold;SK Rye sykkel;U21 Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
